track_id,total_distance_pixels
1,169.38106867724113
2,305.9118200323841
3,386.006415061868
4,2868.8568074838363
5,3426.404744113298
6,3035.0493340661733
8,4139.368216327209
9,1078.3904570421525
10,36.62741699796952
11,3363.1459181510086
12,965.7857523833069
14,2396.6366617676786
19,1605.613852230993
24,377.3726254901619
25,1224.5360106892124
32,2089.1664029460217
37,1042.937335508935
39,412.0621197675755
40,395.9038876489599
43,351.1307536925876
44,95.69477917412092
48,1361.3363740263057
49,2256.450988468151
54,2639.3130884323587
55,2435.575998932673
63,53.236067977499786
76,27.35917360311745
77,1659.0098342008882
80,272.46998545098523
88,285.71649977761007
89,235.92389873802128
94,107.96341924119994
99,436.80220479379426
102,1016.2889726150418
109,1207.758116383067
113,677.4982901483579
125,850.4972874963076
140,223.34120819046004
141,616.2898199963016
142,40.09298024334961
144,1018.4110623450181
146,864.7802208105293
147,444.23874304433684
159,633.2058964947065
162,358.68985982080966
164,777.1866947528675
176,662.8984994025965
183,973.6163647996543
184,857.499881184336
190,689.5362169391527
192,521.5277391592571
194,582.2912776877122
200,1013.0176582095588
201,870.168261784458
204,25.11195138058767
205,7.0
206,2.0
207,45.305812262318696
208,21.634413615167958
209,22.89292222699217
210,102.5592295002568
211,65.87585319700683
212,99.72960747823835
213,2.414213562373095
214,95.38992969964441
215,20.389050422582738
