track_id,{'avg_speed_pixels_per_sec'}
1,97.71984731379297
2,136.97544180554516
3,167.8288761138557
4,294.7455624127229
5,286.3290872518077
6,232.8682353503458
8,317.5985843729316
9,305.20484633268467
10,36.62741699796952
11,301.17724640158315
12,112.30066888177996
14,267.2828990818974
19,195.80656734524297
24,323.4622504201388
25,291.5561930212412
32,183.26021078473875
37,148.28492921928003
39,121.19474110811049
40,101.51381734588715
43,112.06300649763436
44,59.8092369838256
48,249.02494646822666
49,410.26381608511855
54,305.71194074506104
55,419.9268963677011
63,53.236067977499765
76,19.54226685936958
77,559.216798045243
80,125.75537790045483
88,252.10279392142044
89,228.31345039163338
94,107.96341924119992
99,422.7118110907687
102,207.40591277857973
109,724.6548698298407
113,184.77226094955216
125,257.72645075645727
140,89.3364832761841
141,225.4718853645004
142,38.799658300015764
144,359.43919847471227
146,308.8500788609034
147,185.09947626847412
159,474.90442237103025
162,192.1552820468625
164,370.0889022632701
176,462.48732516460274
183,730.2122735997405
184,643.1249108882519
190,626.851106308321
192,488.93225546180366
194,563.5076880848828
200,723.584041578256
201,621.5487584174695
204,83.70650460195878
205,23.333333333333414
206,6.66666666666669
207,151.01937420772788
208,72.11471205055959
209,76.30974075664048
210,341.86409833418986
211,219.58617732335634
212,332.432024927462
213,8.04737854124368
214,357.7122363736678
215,87.38164466821205
