frame,track_id,team,x1,y1,x2,y2,cx,cy,zone
2,1,unknown,1242.7277915812465,438.97892565652467,1314.3557896587695,661.525301438402,1278.0,550.0,Right Wing
2,2,unknown,1669.7140520789228,497.1902982250484,1769.771283988422,782.2662533115513,1719.0,639.0,Right Wing
2,3,unknown,466.0944283195943,465.39174796676497,558.9115456109764,701.6716516007202,512.0,583.0,Left Wing
2,4,unknown,626.0642070445797,291.30184630610785,707.5340003790039,488.34664570122953,666.0,389.0,Other
2,5,unknown,201.49607954969417,475.8369299806517,344.6118429546109,709.5254785583463,273.0,592.0,Left Wing
2,6,unknown,881.7819078514663,350.8731280269069,964.39724042028,567.3359555353923,923.0,459.0,Top Key
2,8,unknown,1810.1357195185026,484.8733050817276,1877.2231915765747,720.2653331005023,1843.0,602.0,Right Wing
2,9,unknown,366.9111852666572,736.8309152212034,452.4706810800982,946.9873286080881,409.0,841.0,Other
2,10,unknown,890.8693251544325,839.3287959101607,1002.9658377093891,980.5462102506075,946.0,909.0,Paint
2,11,unknown,1174.583794211244,306.0660036839197,1241.3158883582678,511.15430519755284,1207.0,408.0,Other
2,12,unknown,1039.8204486041564,827.262932762414,1127.4635335450375,980.7871089956808,1083.0,904.0,Paint
3,1,unknown,1239.076145147597,437.8650996585744,1315.636556574922,677.1194473246352,1277.0,557.0,Right Wing
3,2,unknown,1685.578659192353,505.0419482402143,1785.2656768812064,783.8888026272344,1735.0,644.0,Right Wing
3,3,unknown,465.1333545036229,466.24346064250506,561.1895719430227,709.5929808125096,513.0,587.0,Left Wing
3,4,unknown,622.2855702453762,290.77702242985725,704.1437567938146,488.79168122945566,663.0,389.0,Other
3,5,unknown,201.60843989150004,472.26950635360834,347.30345748918955,713.6722462606626,274.0,592.0,Left Wing
3,6,unknown,878.8424135777979,351.1369407020155,961.5511716846516,567.8959575713927,920.0,459.0,Top Key
3,8,unknown,1806.589989927131,483.7277256397838,1875.769591351478,725.5613263475534,1841.0,604.0,Right Wing
3,9,unknown,359.8107292338401,736.1919625734673,447.3581233297302,952.1158941609178,403.0,844.0,Other
3,10,unknown,889.682156774336,838.5580054965216,1002.1368363940479,980.2266331083015,945.0,909.0,Paint
3,11,unknown,1172.9759449369628,303.821919250516,1240.69418913948,511.19773166473504,1206.0,407.0,Other
3,12,unknown,1036.8567447674777,826.2797817747321,1124.83157640955,980.4261571016368,1080.0,903.0,Paint
4,1,unknown,1239.04102286896,437.69385053364806,1315.9823882259868,680.3609209027136,1277.0,559.0,Right Wing
4,2,unknown,1691.305655459741,508.1278269893971,1793.068662984228,785.9443243841001,1742.0,647.0,Right Wing
4,3,unknown,466.8060923375275,466.1355834537477,563.9827852309762,711.2695060294068,515.0,588.0,Left Wing
4,4,unknown,619.5374467275138,286.3232341554066,702.4613016426407,487.6052400986634,660.0,386.0,Other
4,5,unknown,202.6638608133228,469.9301754952869,351.8933151984843,721.7580440285824,277.0,595.0,Left Wing
4,6,unknown,877.9962643834175,351.53920740687676,959.3664372814718,564.8138365146369,918.0,458.0,Top Key
4,8,unknown,1803.1209976035314,483.3065008076727,1872.9717878436704,726.4671628387106,1838.0,604.0,Right Wing
4,9,unknown,353.2868298788669,734.9203250849924,441.06731767084466,952.6298475596419,397.0,843.0,Other
4,10,unknown,888.4949883944053,837.7872150828825,1001.3078350785411,979.9070559659957,944.0,908.0,Paint
4,11,unknown,1171.8010832354096,305.0650915640345,1238.991937458105,509.4592308904296,1205.0,407.0,Other
4,12,unknown,1034.4500260325362,825.2794074407532,1123.0970121391413,980.6696976050471,1078.0,902.0,Paint
4,14,unknown,758.7020728507287,559.9351499728683,913.4915429135865,793.2997401984335,836.0,676.0,Other
5,1,unknown,1237.6473414581505,439.2775012632562,1315.6584423598124,687.3185468408292,1276.0,563.0,Right Wing
5,2,unknown,1690.1566272314808,509.5664048467256,1794.5509838368516,787.8463142304706,1742.0,648.0,Right Wing
5,3,unknown,466.8806904784711,465.76882723689954,564.0022422679325,710.3159983482691,515.0,588.0,Left Wing
5,4,unknown,616.9313995562516,284.8637488733287,700.0445293217123,486.5088994191284,658.0,385.0,Other
5,5,unknown,199.3023191986772,469.5157027101326,350.03206132311607,726.6332349949253,274.0,598.0,Left Wing
5,6,unknown,876.4866911179588,351.13501171783264,957.3489726162205,563.1321521796044,916.0,457.0,Top Key
5,8,unknown,1800.4723260373287,482.935058921201,1870.6593757755893,726.046309629802,1835.0,604.0,Right Wing
5,9,unknown,348.2945440795953,734.3928379027496,436.70325124340957,953.6604481144302,392.0,844.0,Other
5,10,unknown,887.3078200146402,837.0164246692434,1000.4788337628685,979.5874788236897,943.0,908.0,Paint
5,11,unknown,1170.739164251392,305.7412263414511,1237.5851526946017,509.0862815262411,1204.0,407.0,Other
5,12,unknown,1032.7163757950784,824.5644958692548,1121.6965826651422,980.5388924792509,1077.0,902.0,Paint
5,14,unknown,752.8171705100951,557.9140603431885,904.2393355850654,790.4533716549561,828.0,674.0,Other
6,1,unknown,1237.1310352642886,440.15797547335904,1315.109031996676,689.6632453671899,1276.0,564.0,Right Wing
6,2,unknown,1691.84090400679,512.7286289482159,1799.1747725104485,791.1336058337013,1745.0,651.0,Right Wing
6,3,unknown,465.62630705448373,466.05136708763604,562.2390828530629,709.4387852333575,513.0,587.0,Left Wing
6,4,unknown,613.2092815648305,282.02304368589205,696.7324464337138,485.43040241065825,654.0,383.0,Other
6,5,unknown,203.6852485171954,470.28519799785624,350.41622989325947,726.794189922178,277.0,598.0,Left Wing
